date,THEFT,DECEPTIVE PRACTICE,OTHER OFFENSE,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,ASSAULT,BATTERY,NARCOTICS,WEAPONS VIOLATION,OFFENSE INVOLVING CHILDREN,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,BURGLARY,INTERFERENCE WITH PUBLIC OFFICER,CRIM SEXUAL ASSAULT,ARSON,CRIMINAL SEXUAL ASSAULT,PROSTITUTION,PUBLIC PEACE VIOLATION,SEX OFFENSE,STALKING,KIDNAPPING,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,GAMBLING,OBSCENITY,HOMICIDE,NON-CRIMINAL,HUMAN TRAFFICKING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),OTHER NARCOTIC VIOLATION,RITUALISM,city
2018-02-16,162,51,41,20,72,63,113,26,8,9,29,19,0,34,2,5,0,0,0,3,2,0,2,0,0,0,1,2,0,0,0,0,0,0,Chicago
2018-02-17,149,46,44,24,84,40,123,11,8,4,28,16,0,16,3,2,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,Chicago
2018-02-18,115,22,37,28,72,47,138,19,11,3,17,19,1,27,7,9,0,1,0,5,3,1,1,1,1,0,0,2,1,0,0,0,0,0,Chicago
2018-02-19,139,41,48,26,80,55,107,30,7,2,23,21,0,30,6,2,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Chicago
2018-02-20,127,68,53,19,62,58,112,33,8,6,17,25,0,32,5,6,0,2,0,4,4,1,0,2,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-21,161,57,39,23,53,57,112,40,12,5,22,23,0,21,5,4,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-02-22,156,48,45,23,69,64,118,38,19,9,27,20,0,20,5,4,0,0,0,3,3,0,1,1,0,0,0,3,0,1,0,0,0,0,Chicago
2018-02-23,168,49,51,24,61,57,104,53,14,7,22,20,0,28,3,2,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,Chicago
2018-02-24,155,34,51,14,90,37,162,32,17,4,26,13,1,22,4,1,0,1,5,1,2,2,1,0,1,0,1,3,1,0,0,0,0,0,Chicago
2018-02-25,158,43,35,20,81,43,149,31,11,5,29,15,0,17,1,6,1,1,1,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Chicago
2018-02-26,139,60,34,18,61,47,125,45,16,4,14,21,0,25,4,1,0,0,0,2,6,0,1,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-27,161,59,49,21,70,54,107,55,23,6,15,25,0,30,5,5,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-02-28,150,67,52,21,51,50,103,42,19,6,19,15,0,27,5,8,1,0,0,4,3,1,2,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-01,165,134,58,22,81,79,129,36,10,23,27,17,0,25,3,11,0,0,0,1,10,1,1,0,0,0,1,1,0,0,0,0,0,0,Chicago
2018-03-02,153,64,46,20,80,53,115,51,13,6,27,18,0,24,4,2,3,0,3,6,1,0,0,1,1,0,0,1,0,0,0,0,0,0,Chicago
2018-03-03,136,45,44,27,82,45,155,42,12,2,20,10,2,20,2,4,2,2,2,4,2,0,0,1,0,0,0,2,0,1,0,0,0,0,Chicago
2018-03-04,143,39,46,22,78,49,135,46,8,3,26,16,1,16,11,1,2,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Chicago
2018-03-05,144,54,46,26,67,52,125,47,9,6,21,26,0,32,2,3,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-06,154,63,56,18,58,62,114,42,7,4,18,21,1,17,4,2,2,0,0,3,4,0,1,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-07,157,56,51,30,44,59,98,50,12,5,24,23,0,28,3,0,1,0,0,8,4,2,0,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-08,125,53,51,29,74,48,119,36,24,8,13,24,1,32,4,4,3,2,0,3,3,0,2,0,0,0,0,2,0,0,0,0,0,0,Chicago
2018-03-09,167,60,55,33,92,42,118,43,20,6,25,21,3,30,3,9,1,0,1,5,7,1,1,0,1,0,1,0,0,0,0,0,0,0,Chicago
2018-03-10,155,45,45,16,70,53,151,42,13,3,32,15,1,24,5,4,1,0,0,3,3,0,0,0,0,1,0,3,0,0,0,0,0,0,Chicago
2018-03-11,132,31,31,20,75,54,143,36,10,2,24,15,2,19,4,4,2,1,1,4,4,1,0,0,1,0,1,2,0,0,0,0,0,0,Chicago
2018-03-12,163,51,44,19,61,51,117,35,16,8,33,21,0,32,4,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,Chicago
2018-03-13,154,51,40,32,66,56,120,34,13,5,14,16,1,23,2,2,1,0,0,1,3,0,1,3,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-14,144,48,42,20,71,51,136,46,11,6,20,18,0,28,5,1,0,0,1,8,5,1,2,0,1,0,0,0,0,0,0,0,0,0,Chicago
2018-03-15,161,61,48,25,63,62,129,38,9,10,30,22,0,24,2,2,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Chicago
2018-03-16,157,57,42,22,71,74,118,50,14,7,19,19,1,29,1,5,2,0,1,7,2,0,1,1,0,0,0,2,1,0,0,0,0,0,Chicago
2018-03-17,167,47,43,24,109,49,184,47,13,8,23,17,3,19,5,7,0,1,0,4,2,0,0,0,1,0,0,4,0,0,0,0,0,0,Chicago
2018-03-18,143,51,56,29,72,45,159,34,16,9,22,18,0,22,2,3,0,0,0,3,2,0,0,0,0,2,0,2,0,0,0,0,0,0,Chicago
2018-03-19,136,67,38,29,69,36,126,40,14,6,39,16,0,35,4,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-03-20,151,66,58,15,80,55,117,46,8,12,26,21,1,36,3,3,0,0,0,7,5,1,0,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-03-21,159,61,47,20,73,54,131,36,9,6,19,17,1,26,2,5,1,0,7,7,3,2,0,1,0,0,0,2,0,0,0,0,0,0,Chicago
2018-03-22,160,59,52,23,89,45,95,39,11,6,25,18,0,27,6,2,0,0,5,2,3,0,0,1,1,1,0,1,0,0,0,0,0,0,Chicago
2018-03-23,169,46,56,26,82,59,133,57,14,6,24,23,1,35,4,2,2,0,0,3,5,0,0,0,0,2,0,3,0,0,0,0,0,0,Chicago
2018-03-24,163,41,37,26,70,44,134,28,16,3,21,16,1,26,6,4,2,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-03-25,141,31,46,16,84,45,163,43,13,6,22,22,1,24,4,3,0,1,0,4,1,0,1,0,2,0,3,1,0,0,0,0,0,0,Chicago
2018-03-26,169,78,45,28,75,33,119,40,11,7,23,20,0,31,3,5,0,0,0,4,2,2,0,1,0,1,0,0,0,0,0,0,0,0,Chicago
2018-03-27,148,44,60,31,73,53,122,32,7,6,30,24,0,32,1,2,0,1,3,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-03-28,160,58,36,20,81,40,125,52,14,4,26,22,0,28,3,3,1,1,5,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Chicago
2018-03-29,147,53,46,17,72,62,92,40,11,4,17,19,0,27,5,4,1,0,0,3,3,1,1,0,0,0,1,2,1,0,0,0,0,0,Chicago
2018-03-30,176,56,57,29,75,51,108,35,16,2,27,18,1,28,6,4,0,0,1,6,5,0,0,0,1,0,1,0,0,1,0,0,0,0,Chicago
2018-03-31,152,37,49,22,100,59,127,39,19,10,21,13,1,23,6,3,3,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Chicago
2018-04-01,146,89,67,29,72,51,130,31,9,13,25,14,0,31,1,9,0,3,0,4,9,2,1,0,0,0,0,3,0,0,0,0,0,0,Chicago
2018-04-02,159,52,46,29,82,48,116,42,9,4,16,20,0,34,3,3,2,0,0,3,3,0,0,0,0,2,0,0,1,0,0,0,0,0,Chicago
2018-04-03,150,58,50,17,60,42,89,43,2,9,13,25,1,30,5,1,0,0,0,5,2,1,0,0,1,0,0,1,0,0,0,0,0,0,Chicago
2018-04-04,164,66,47,22,72,51,124,34,13,10,31,15,1,30,3,1,0,0,5,5,2,0,0,1,1,0,0,1,1,0,1,0,0,0,Chicago
2018-04-05,147,66,51,27,74,55,117,33,10,8,21,19,0,26,1,4,2,0,1,2,4,2,0,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-04-06,165,67,40,13,55,51,147,36,14,5,19,26,2,30,1,3,1,1,5,5,4,0,2,0,1,0,0,2,0,0,0,0,0,0,Chicago
2018-04-07,124,36,32,26,76,43,165,41,8,8,22,21,0,20,2,2,0,0,1,1,3,0,1,0,1,0,0,2,0,0,0,0,0,0,Chicago
2018-04-08,151,48,39,22,73,45,128,35,9,9,28,9,1,11,1,2,1,0,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,Chicago
2018-04-09,162,59,48,25,77,55,106,38,9,3,18,21,0,25,4,0,1,0,0,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Chicago
2018-04-10,165,50,63,27,73,53,105,51,20,5,24,27,0,28,2,7,0,1,6,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Chicago
2018-04-11,169,39,54,34,83,76,130,38,20,9,27,21,0,41,6,3,1,1,4,4,3,1,1,0,0,2,0,2,0,0,0,0,0,0,Chicago
2018-04-12,177,51,50,22,75,67,152,34,25,6,25,27,0,27,2,1,1,0,0,4,2,0,2,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-04-13,202,52,65,31,84,47,140,49,17,6,24,8,0,29,4,5,3,0,8,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,Chicago
2018-04-14,177,52,43,33,60,49,131,30,9,7,21,25,1,33,4,3,1,0,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Chicago
2018-04-15,142,41,34,29,67,46,129,27,7,4,23,12,0,29,4,4,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-04-16,186,53,41,19,102,49,123,21,9,6,21,16,0,62,3,3,3,0,1,3,7,0,0,0,1,0,1,2,0,0,0,1,0,0,Chicago
2018-04-17,172,57,57,25,68,54,107,31,13,7,23,17,0,40,3,4,0,1,7,5,5,1,0,0,0,0,0,1,1,0,0,0,0,0,Chicago
2018-04-18,156,55,47,22,63,56,99,22,12,9,25,16,1,27,2,2,0,0,6,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-04-19,167,54,69,20,72,62,91,43,17,4,25,31,2,35,7,3,0,4,8,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,Chicago
2018-04-20,186,56,53,32,76,46,155,54,20,9,29,27,2,33,3,7,1,1,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Chicago
2018-04-21,135,44,39,29,85,53,143,44,11,4,23,16,2,24,5,3,2,0,7,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,Chicago
