date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-01-31,11,10,5,5,4,2,1,3,1,7,9,1,8,0,2,15,4,4,17,35,2,1,8,2,4,1,8,0,0,6,1,0,1,0,0,4,10,0,0,9,3,1,2,0,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Boston
2018-02-01,11,27,6,13,14,3,2,2,0,12,13,4,6,1,6,6,3,6,19,29,6,3,11,1,6,1,3,0,1,5,0,1,2,0,0,5,11,0,2,7,2,5,1,0,27,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-02,22,18,1,9,6,0,0,5,2,6,18,1,2,0,4,14,1,2,21,37,6,1,11,1,2,0,9,0,2,9,1,1,0,0,1,3,7,0,3,10,1,1,0,1,6,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-03,13,14,4,8,3,1,2,4,1,13,7,2,3,2,4,14,1,3,19,34,4,1,9,0,5,0,5,0,2,2,0,1,0,1,1,3,6,1,4,9,1,1,0,1,5,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,Boston
2018-02-04,9,16,5,14,3,3,1,1,0,16,9,1,1,0,4,20,4,4,18,22,11,0,10,0,2,0,0,0,4,2,0,1,1,0,0,3,6,0,5,11,2,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Boston
2018-02-05,15,21,3,11,7,4,0,4,1,7,19,3,1,1,6,14,2,6,23,27,5,2,10,0,5,0,9,0,0,11,0,2,3,0,0,1,9,0,1,12,0,1,0,0,19,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Boston
2018-02-06,17,18,1,6,1,3,4,3,2,7,14,2,4,1,5,13,2,4,22,26,7,4,7,1,8,0,4,0,3,10,0,0,1,0,1,3,8,1,0,16,3,4,0,1,19,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-02-07,14,16,1,9,3,2,2,1,2,10,4,1,8,3,7,7,0,4,14,27,5,0,8,2,2,0,2,0,1,5,0,0,1,0,2,5,4,0,0,12,0,0,2,0,13,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-02-08,16,19,5,8,5,4,2,2,2,12,14,2,7,0,4,20,0,9,21,21,9,2,10,0,3,0,8,0,0,14,1,1,1,1,0,2,10,0,1,11,1,2,9,0,25,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,Boston
2018-02-09,21,17,3,8,4,3,1,6,0,3,14,2,4,1,3,11,2,4,19,17,7,0,15,1,6,0,2,1,0,3,1,5,0,0,0,4,8,1,7,11,3,2,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
