city,month_year,monthly_cases,robbery,assault,drugs,theft,weapons offense,breaking & entering,property crime,theft of vehicle,theft from vehicle,liquor,arson,disorder,traffic,vehicle recovery,family offense,kidnapping,homicide
Memphis,2021-07-01,0.2689420355252902,0.583596214511041,0.8591140159767611,0.7826771653543307,0.7179368029739777,0.93993993993994,0.6127023661270237,0.8916109873793615,0.8878676470588235,0.730349344978166,0.5555555555555556,0.7674418604651163,0.8018867924528302,0.6842105263157895,0.7543859649122807,0.4166666666666667,0.7083333333333334,0.6190476190476191
Memphis,2021-08-01,0.8352135209418714,0.6466876971608833,0.8184458968772694,0.7307086614173228,0.7053903345724907,0.7897897897897898,0.5466998754669987,0.8233110616184113,0.8308823529411765,0.8919213973799127,0.4074074074074074,0.7674418604651163,0.7311320754716981,0.7894736842105263,0.45614035087719296,0.6041666666666666,0.5416666666666666,0.6428571428571429
Memphis,2021-09-01,0.6104934979693973,0.6277602523659306,0.8202614379084967,0.6456692913385826,0.7053903345724907,0.8138138138138138,0.5691158156911582,0.7728285077951003,0.8327205882352942,0.8264192139737991,0.25925925925925924,0.8372093023255814,0.6981132075471698,0.6973684210526315,0.8421052631578947,0.6458333333333334,0.7083333333333334,0.8333333333333334
Memphis,2021-10-01,0.16556590228494072,0.7160883280757098,0.8783587509077705,0.6787401574803149,0.729089219330855,0.8648648648648649,0.6774595267745953,1.0,0.9319852941176471,1.0,0.25925925925925924,0.5116279069767442,0.7311320754716981,0.6973684210526315,0.7719298245614035,0.7083333333333334,0.6666666666666666,1.0
Memphis,2021-11-01,0.13865528982237355,0.526813880126183,0.7447349310094408,0.7732283464566929,0.6635687732342007,0.8888888888888888,0.5292652552926526,0.8106904231625836,0.8198529411764706,0.7281659388646288,0.3333333333333333,0.5116279069767442,0.6556603773584906,0.8157894736842105,0.5964912280701754,0.7083333333333334,0.4583333333333333,0.6428571428571429
Memphis,2021-12-01,1.0,0.668769716088328,0.7414669571532316,0.5763779527559055,0.6858736059479554,0.7747747747747747,0.5940224159402242,0.7691165553080921,0.8988970588235294,0.6986899563318777,0.25925925925925924,0.6511627906976745,0.6462264150943396,0.6710526315789473,1.0,0.7083333333333334,0.7083333333333334,0.9047619047619048
Chicago,2018-01-01,0.0,0.9532908704883227,0.7158599525735807,0.7505197505197505,0.7436054525961097,0.41608040201005025,0.8453892876863611,0.7086238532110092,0.8679896462467644,,0.6388888888888888,0.3333333333333333,0.41252699784017277,,,,0.8181818181818182,0.38392857142857145
Chicago,2018-02-01,0.0,0.6740976645435244,0.6522527549170037,0.6902286902286903,0.5973349670699954,0.3135678391959799,0.688017669795693,0.6135779816513761,0.540120793787748,,0.25,0.1794871794871795,0.408207343412527,,,,0.6818181818181818,0.38392857142857145
Chicago,2018-03-01,0.0,0.7834394904458599,0.7942530338959408,0.8884268884268884,0.7276765201409098,0.4040201005025126,0.7774710104914412,0.8576146788990826,0.635030198446937,,0.6388888888888888,0.41025641025641024,0.5637149028077754,,,,0.7272727272727273,0.30357142857142855
Chicago,2018-04-01,0.0,0.7356687898089171,0.7759799135165295,0.762993762993763,0.7655077347220095,0.4120603015075377,0.8431805632247377,0.8220183486238533,0.6488352027610008,,0.5555555555555556,0.34615384615384615,0.5010799136069114,,,,0.5454545454545454,0.38392857142857145
